file,missing_frac,otsu_t,reason,seg_gt1_frac,thick_mean,thick_min,thick_std,time_ms,verdict
Oring1.jpg,0.0,169,OK,0.0,16.945833206176758,12.0,0.912024199962616,124.6161999999913,PASS
Oring10.jpg,0.0,117,OK,0.0,21.087499618530273,19.0,0.5980146527290344,130.58679999994638,PASS
Oring11.jpg,0.0,78,OK,0.0,20.84583282470703,15.0,1.2212741374969482,128.8198999998258,PASS
Oring12.jpg,0.0,125,OK,0.0,17.126388549804688,16.0,0.6535146236419678,126.31880000003548,PASS
Oring13.jpg,0.0,181,OK,0.0,16.808332443237305,12.0,0.9201072454452515,126.8777999998747,PASS
Oring14.jpg,0.0,127,OK,0.0,14.287500381469727,12.0,0.6986966729164124,121.37759999995978,PASS
Oring15.jpg,0.0,74,Thin/missing material,0.008333333333333333,14.465277671813965,1.0,1.6112158298492432,124.47610000003806,FAIL
Oring2.jpg,0.0,120,OK,0.0,26.975000381469727,25.0,0.8109921813011169,132.1208999997907,PASS
Oring3.jpg,0.0,76,OK,0.0,20.719444274902344,16.0,1.0602200031280518,129.4028999998318,PASS
Oring4.jpg,0.0,118,OK,0.0,16.91111183166504,15.0,0.6436777114868164,125.63790000012887,PASS
Oring5.jpg,0.018055555555555554,168,Missing sector,0.002777777777777778,14.121641159057617,1.0,1.197320818901062,133.50739999987127,FAIL
Oring6.jpg,0.0,114,OK,0.0,14.547222137451172,13.0,0.6995975375175476,122.36729999995077,PASS
Oring7.jpg,0.0,74,Thin/missing material,0.002777777777777778,14.190278053283691,2.0,1.3369388580322266,122.38090000005286,FAIL
Oring8.jpg,0.0,123,OK,0.0,14.276389122009277,13.0,0.6146346926689148,123.34840000016811,PASS
Oring9.jpg,0.025,167,Missing sector,0.002777777777777778,14.132478713989258,1.0,1.1464546918869019,135.33800000004703,FAIL
